date,forecast_population,lower_95_approx,upper_95_approx,horizon_day
2026-07-28,82510,82190,82639,1
2026-07-29,82483,82032,82667,2
2026-07-30,82443,81891,82668,3
2026-07-31,82357,81719,82617,4
2026-08-01,82387,81674,82678,5
2026-08-02,82375,81594,82693,6
2026-08-03,82349,81505,82693,7
2026-08-04,82282,81380,82650,8
2026-08-05,82282,81325,82672,9
2026-08-06,82268,81259,82678,10
2026-08-07,82214,81156,82645,11
2026-08-08,82240,81134,82689,12
2026-08-09,82263,81113,82731,13
2026-08-10,82242,81048,82728,14
